step,return,length,success
32768,0.012498975,437.0,1.0
49152,-1.197731,579.6363636363636,1.0
65536,-4.5010138,887.7014925373135,0.3582089552238806
81920,-3.8914022,822.0649350649351,0.44155844155844154
98304,-3.2020414,751.0618556701031,0.5567010309278351
114688,-2.955329,713.6,0.55
131072,-1.5188643,564.42,0.83
147456,-1.2418643,523.98,0.83
163840,-0.52711105,436.22,0.84
180224,0.29039618,351.9,0.94
196608,-0.35680866,419.54,0.85
212992,-0.8157616,468.05,0.81
229376,-1.3685651,529.04,0.77
245760,-1.0888124,501.77,0.84
262144,-0.89111066,483.52,0.9
278528,-0.32475743,420.1,0.92
294912,-0.36725804,418.63,0.9
311296,-0.50445706,434.36,0.9
327680,-0.42440683,423.73,0.91
344064,-0.10165498,386.08,0.91
360448,-0.27250633,404.53,0.9
376832,-0.6368092,443.22,0.87
393216,-0.30465838,405.28,0.89
409600,-0.5932608,431.16,0.84
425984,-0.2836589,398.73,0.86
442368,-0.36191052,401.63,0.83
458752,-0.0819591,367.9,0.84
475136,-0.40896076,407.57,0.82
491520,-0.4969606,419.89,0.83
507904,-0.52860934,430.01,0.84
524288,0.09839579,367.8,0.93
540672,0.36609593,335.24,0.95
557056,0.2570953,347.55,0.93
573440,0.3364967,336.4,0.93
589824,0.39339596,321.65,0.93
606208,0.11689284,345.52,0.9
622592,0.36069408,321.74,0.93
638976,-0.084409066,364.06,0.89
655360,-0.44741124,405.63,0.85
671744,-0.13900807,377.32,0.89
688128,-0.2740075,389.96,0.9
704512,-0.082456455,368.95,0.9
720896,0.25519383,334.75,0.9
737280,0.510395,306.23,0.92
753664,0.91704726,260.13,0.95
770048,0.45439553,313.01,0.91
786432,0.75309545,280.12,0.91
802816,1.1850984,234.25,0.97
819200,1.0023968,255.22,0.95
835584,0.48084447,315.46,0.9
851968,1.2119472,232.18,0.95
868352,0.9814965,256.57,0.94
884736,1.1182977,242.84,0.95
901120,0.9990461,251.54,0.94
917504,0.6967943,278.94,0.92
933888,1.2064974,227.77,0.94
950272,1.3330488,217.45,0.97
966656,0.80984664,273.7,0.94
983040,0.7761459,275.45,0.93
999424,0.90129644,263.99,0.93
1015808,1.0421978,254.31,0.95
1032192,1.1917977,241.83,0.95
1048576,1.1026472,250.51,0.95
1064960,1.2654477,232.56,0.95
1081344,1.2546471,236.79,0.94
1097728,1.2835976,240.33,0.95
1114112,1.0997975,265.24,0.94
1130496,1.0028462,274.55,0.91
1146880,1.1391475,259.82,0.94
1163264,1.190197,256.79,0.94
1179648,1.269248,249.49,0.95
1196032,1.0763975,266.3,0.95
1212416,1.1232971,261.2,0.94
1228800,1.0817475,265.08,0.94
1245184,0.7859953,293.22,0.91
1261568,0.836594,277.84,0.9
1277952,1.2777476,237.64,0.94
1294336,0.92409426,263.05,0.89
1310720,1.5723491,198.68,0.97
1327104,1.4999483,208.94,0.96
1343488,1.9251993,155.48,0.98
1359872,1.9820503,150.61,1.0
1376256,1.6551486,186.45,0.98
1392640,2.10785,131.19,0.99
1409024,1.753898,168.5,0.96
1425408,2.13975,127.38,0.99
1441792,2.0983505,129.65,1.0
1458176,2.1265492,127.58,0.99
1474560,2.0753987,128.88,0.98
1490944,1.9197984,150.58,0.97
1507328,2.0872505,130.81,1.0
1523712,1.9736499,143.09,1.0
1540096,1.8266482,158.23,0.97
1556480,1.8840996,155.6,0.98
1572864,1.9948992,141.99,0.98
1589248,1.9370995,149.14,0.98
1605632,1.9849495,145.3,0.98
1622016,1.9570494,152.73,0.99
1638400,2.0272498,141.18,0.99
1654784,2.0554993,133.56,0.98
1671168,2.1050494,128.63,0.98
1687552,2.2669,110.8,0.99
1703936,1.9257988,149.51,0.97
1720320,2.1436992,127.81,0.99
1736704,2.1818495,121.23,0.99
1753088,2.092949,129.82,0.97
1769472,2.2921503,107.21,1.0
1785856,2.2199492,115.94,0.99
1802240,2.2385502,117.59,1.0
1818624,2.2692502,108.18,1.0
1835008,2.3465497,98.83,1.0
1851392,2.1609983,118.1,0.98
1867776,2.2512488,107.35,0.98
1884160,2.1011982,128.7,0.98
1900544,2.102198,124.72,0.95
1916928,2.2834492,107.28,0.99
1933312,2.50005,81.75,1.0
1949696,2.4397001,89.21,1.0
1966080,2.4822505,84.17,1.0
1982464,2.2979996,104.74,0.99
1998848,2.2698996,108.99,1.0
2015232,2.46,85.81,1.0
2031616,2.1357496,130.63,1.0
2048000,2.5300496,78.11,0.99
2064384,2.5105505,80.41,1.0
2080768,2.26915,108.26,1.0
2097152,2.3476996,98.9,0.99
2113536,2.455049,84.21,0.98
2129920,2.4381,89.4,1.0
2146304,2.4584,85.53,1.0
2162688,2.4291992,87.68,0.98
2179072,2.5004504,80.86,1.0
2195456,2.215099,112.91,0.98
2211840,2.3951485,88.06,0.97
2228224,2.1720986,117.55,0.97
2244608,2.4593995,84.46,0.99
2260992,2.4781988,80.92,0.99
2277376,2.4406998,87.97,0.99
2293760,2.3765993,95.6,0.99
2310144,2.6547003,61.91,1.0
2326528,2.5119998,77.66,0.99
2342912,2.53295,76.4,0.99
2359296,2.4879997,83.69,1.0
2375680,2.4424002,87.66,1.0
2392064,2.5806503,71.74,1.0
2408448,2.5786996,72.18,0.99
2424832,2.69065,55.16,1.0
2441216,2.5485003,74.27,1.0
2457600,2.4683497,84.11,0.99
2473984,2.6470501,62.87,1.0
2490368,2.2014484,112.48,0.96
2506752,2.5582497,72.93,0.99
2523136,2.4675498,85.56,1.0
2539520,2.5994499,67.07,0.99
2555904,2.3394494,99.71,0.99
2572288,2.2457986,109.53,0.98
2588672,2.4371994,87.29,0.99
2605056,2.5928004,68.77,1.0
2621440,2.6648502,60.61,1.0
2637824,2.6491504,62.34,1.0
2654208,2.67755,59.37,1.0
2670592,2.4779496,83.16,0.99
2686976,2.6285005,64.42,1.0
2703360,2.6366003,63.68,1.0
2719744,2.7018507,57.11,1.0
2736128,2.8021002,43.28,1.0
2752512,2.6352003,64.22,1.0
2768896,2.3977993,91.73,0.98
2785280,2.6192496,65.87,0.99
2801664,2.5774,70.92,0.99
2818048,2.5496998,74.78,0.99
2834432,2.7216504,53.97,1.0
2850816,2.8061001,43.24,1.0
2867200,2.6065998,66.29,0.99
2883584,2.6209993,64.83,0.99
2899968,2.4503493,91.23,0.98
2916352,2.5043492,77.41,0.98
2932736,2.7406003,51.02,1.0
2949120,2.431749,89.18,0.97
2965504,2.5977497,68.71,0.99
2981888,2.5921493,68.93,0.99
2998272,2.4653497,85.35,0.99
3014656,2.70145,56.61,1.0
3031040,2.6465497,61.06,0.99
3047424,2.6406994,62.08,0.99
3063808,2.6945002,56.27,1.0
3080192,2.7666502,46.33,1.0
3096576,2.6946006,55.6,1.0
3112960,2.6612496,59.16,0.99
3129344,2.529749,75.19,0.99
3145728,2.5150998,76.82,0.99
3162112,2.6442492,61.13,0.99
3178496,2.5989501,67.55,1.0
3194880,2.64315,62.46,1.0
3211264,2.7109497,51.86,0.99
3227648,2.7565002,48.96,1.0
3244032,2.7922003,44.0,1.0
3260416,2.6497498,60.88,0.99
3276800,2.6126494,64.32,0.98
3293184,2.7261498,52.75,1.0
3309568,2.7605503,49.65,1.0
3325952,2.7089002,54.59,1.0
3342336,2.7804003,46.67,1.0
3358720,2.5882494,69.06,1.0
3375104,2.7280502,53.54,1.0
3391488,2.6159,68.24,1.0
3407872,2.6948998,57.96,0.99
3424256,2.7526498,50.71,1.0
3440640,2.5273995,78.63,0.99
3457024,2.7778504,48.69,1.0
3473408,2.8243997,41.42,1.0
3489792,2.81375,42.33,0.99
3506176,2.72795,53.25,1.0
3522560,2.6764495,57.55,0.99
3538944,2.6956997,55.24,0.99
3555328,2.5613494,73.15,0.98
3571712,2.5889997,67.85,0.99
3588096,2.8171504,40.1,1.0
3604480,2.579399,68.05,0.98
3620864,2.80715,42.01,1.0
3637248,2.5577989,68.4,0.98
3653632,2.6979501,55.55,1.0
3670016,2.66355,59.75,0.99
3686400,2.7473497,47.54,0.99
3702784,2.7114005,55.45,1.0
3719168,2.6748502,57.25,0.99
3735552,2.7561495,50.12,1.0
3751936,2.484649,79.93,0.97
3768320,2.5304987,73.11,0.97
3784704,2.7026,54.8,1.0
3801088,2.6696,59.47,1.0
3817472,2.6968496,55.75,1.0
3833856,2.4839983,77.42,0.98
3850240,2.8037498,41.84,1.0
3866624,2.60385,64.87,0.99
3883008,2.7897,44.15,1.0
3899392,2.6704497,58.87,1.0
3915776,2.8226,40.91,1.0
3932160,2.7466998,50.81,1.0
3948544,2.6691,59.23,1.0
3964928,2.75895,46.43,1.0
3981312,2.7886,45.05,1.0
3997696,2.6961503,55.13,1.0
4014080,2.6056497,64.65,0.99
4030464,2.7171502,54.13,1.0
4046848,2.7433503,49.78,1.0
4063232,2.6864998,57.12,1.0
4079616,2.7013996,53.94,0.99
4096000,2.7445498,50.64,1.0
4112384,2.8253,41.32,1.0
4128768,2.6890497,55.41,0.99
4145152,2.6935499,54.15,0.99
4161536,2.5713995,70.42,0.99
4177920,2.75685,47.96,1.0
4194304,2.80235,42.94,1.0
4210688,2.7525501,49.93,1.0
4227072,2.80135,43.31,1.0
4243456,2.745999,51.5,1.0
4259840,2.6732502,58.93,1.0
4276224,2.7500505,50.35,1.0
4292608,2.80765,40.96,1.0
4308992,2.6986496,55.24,0.99
4325376,2.7185497,54.28,0.99
4341760,2.7692502,49.15,1.0
4358144,2.6752493,57.25,0.98
4374528,2.803,43.48,1.0
4390912,2.7871504,46.38,1.0
4407296,2.7469003,51.35,1.0
4423680,2.8077002,43.72,1.0
4440064,2.733099,50.6,0.99
4456448,2.77,49.12,1.0
4472832,2.8254,42.3,1.0
4489216,2.73755,54.34,1.0
4505600,2.7483,50.5,1.0
4521984,2.7516499,50.01,1.0
4538368,2.7174997,54.73,0.99
4554752,2.5041997,82.2,0.99
4571136,2.7300494,51.69,0.99
4587520,2.7495,51.74,1.0
4603904,2.82415,40.78,1.0
4620288,2.76965,49.32,1.0
4636672,2.7003999,55.3,0.99
4653056,2.7920504,44.81,1.0
4669440,2.7198505,54.86,1.0
4685824,2.8268502,41.2,1.0
4702208,2.7922502,43.83,1.0
4718592,2.7229998,54.02,1.0
4734976,2.8519,37.59,1.0
4751360,2.7060494,53.01,0.99
4767744,2.8066003,42.63,1.0
4784128,2.6986997,54.79,0.99
4800512,2.7952502,44.05,1.0
4816896,2.8609,36.16,1.0
4833280,2.7169998,54.12,1.0
4849664,2.6868,56.57,0.99
4866048,2.8260498,40.09,1.0
4882432,2.7064002,55.66,1.0
4898816,2.8712003,34.64,1.0
4915200,2.8431,36.93,1.0
4931584,2.81585,41.58,1.0
4947968,2.75885,48.28,1.0
4964352,2.82365,39.92,1.0
4980736,2.6739993,56.55,0.99
4997120,2.6656,59.3,0.99
5013504,2.657199,57.73,0.99
5029888,2.8762994,32.75,1.0
5046272,2.7877994,43.19,1.0
5062656,2.8229504,41.33,1.0
5079040,2.7214994,50.42,0.99
5095424,2.7901502,44.11,1.0
5111808,2.76555,46.55,1.0
5128192,2.7129996,51.63,0.99
5144576,2.8572,35.17,1.0
5160960,2.8643005,34.92,1.0
5177344,2.7507505,50.32,1.0
5193728,2.78645,43.99,1.0
5210112,2.7761002,47.36,1.0
5226496,2.624999,63.11,0.99
5242880,2.6886997,56.46,1.0
5259264,2.8595505,33.62,1.0
5275648,2.83805,38.73,1.0
5292032,2.7608502,48.59,1.0
5308416,2.8674,35.14,1.0
5324800,2.8343499,38.55,1.0
5341184,2.7032995,55.07,0.99
5357568,2.79005,45.44,1.0
5373952,2.7273493,50.23,0.99
5390336,2.8361502,37.99,1.0
5406720,2.85375,35.55,1.0
5423104,2.8293,39.69,1.0
5439488,2.8377001,38.43,1.0
5455872,2.8112502,41.24,1.0
5472256,2.7662997,46.94,1.0
5488640,2.8258,39.77,1.0
5505024,2.8663998,34.77,1.0
5521408,2.8516,36.48,1.0
5537792,2.7257996,50.79,0.99
5554176,2.78655,46.25,1.0
5570560,2.846,37.51,1.0
5586944,2.8792498,31.66,1.0
5603328,2.7902997,43.24,0.99
5619712,2.8431,38.29,1.0
5636096,2.7953002,43.52,1.0
5652480,2.7922497,43.56,1.0
5668864,2.8444498,37.2,1.0
5685248,2.6667993,59.01,0.99
5701632,2.8286502,39.86,1.0
5718016,2.8531003,36.48,1.0
5734400,2.8824496,33.75,1.0
5750784,2.8656497,34.67,1.0
5767168,2.7979002,41.48,0.99
5783552,2.8797,33.76,1.0
5799936,2.7933495,42.52,0.99
5816320,2.8890502,31.36,1.0
5832704,2.81475,42.03,1.0
5849088,2.8266997,40.54,1.0
5865472,2.82655,40.36,1.0
5881856,2.77715,47.43,1.0
5898240,2.7930496,43.54,0.99
5914624,2.8246503,39.93,1.0
5931008,2.74385,50.95,1.0
5947392,2.5650992,71.21,0.98
5963776,2.8316505,40.57,1.0
5980160,2.82495,39.7,1.0
5996544,2.8215003,41.22,1.0
6012928,2.8427002,38.49,1.0
6029312,2.81605,40.84,1.0
6045696,2.8301,40.06,1.0
6062080,2.6760998,58.63,0.99
6078464,2.6958487,55.5,0.99
6094848,2.7223501,52.08,1.0
6111232,2.8019507,43.78,1.0
6127616,2.7669,48.68,1.0
6144000,2.8828998,32.23,1.0
6160384,2.8520498,37.39,1.0
6176768,2.8553998,35.55,1.0
6193152,2.7414002,50.41,1.0
6209536,2.8202503,39.89,1.0
6225920,2.8438,37.33,1.0
6242304,2.7884502,45.95,1.0
6258688,2.8210998,40.35,1.0
6275072,2.8809004,32.36,1.0
6291456,2.8591998,35.82,1.0
6307840,2.8288999,40.07,1.0
6324224,2.8806,34.23,1.0
6340608,2.7478495,47.17,0.99
6356992,2.7987497,40.35,0.99
6373376,2.8159003,41.7,1.0
6389760,2.8585,36.25,1.0
6406144,2.6110995,66.08,0.98
6422528,2.8062,42.32,1.0
6438912,2.8405,39.0,1.0
6455296,2.8023002,44.3,1.0
6471680,2.6852493,54.84,0.98
6488064,2.8383505,38.92,1.0
6504448,2.8215005,40.85,1.0
6520832,2.7791495,44.79,0.99
6537216,2.86455,35.07,1.0
6553600,2.8421001,38.45,1.0
6569984,2.8259504,39.78,1.0
6586368,2.8395002,39.46,1.0
6602752,2.7670498,47.87,1.0
6619136,2.7952497,43.35,0.99
6635520,2.7821493,43.79,0.99
6651904,2.8808997,33.15,1.0
6668288,2.8662002,35.56,1.0
6684672,2.8205001,39.44,1.0
6701056,2.85975,35.91,1.0
6717440,2.89715,30.86,1.0
6733824,2.80575,43.1,1.0
6750208,2.8539503,36.27,1.0
6766592,2.7505002,50.58,1.0
6782976,2.8338003,39.39,1.0
6799360,2.7722497,45.76,0.99
6815744,2.7197998,53.45,0.99
6832128,2.8597,36.19,1.0
6848512,2.7935,45.35,1.0
6864896,2.82815,40.7,1.0
6881280,2.8095496,40.65,0.99
6897664,2.8246,40.96,1.0
6914048,2.8345995,38.85,1.0
6930432,2.8542502,36.65,1.0
6946816,2.8674,35.03,1.0
6963200,2.8539503,35.73,1.0
6979584,2.8643003,35.42,1.0
6995968,2.7702994,47.49,0.99
7012352,2.8059504,42.28,1.0
7028736,2.7769494,45.27,0.99
7045120,2.75725,48.93,1.0
7061504,2.7681496,45.98,1.0
7077888,2.7616498,47.33,0.99
7094272,2.86605,35.94,1.0
7110656,2.8114502,42.13,1.0
7127040,2.7935,45.4,1.0
7143424,2.8027503,43.91,1.0
7159808,2.7656994,46.18,1.0
7176192,2.83125,39.21,1.0
7192576,2.7363997,50.83,0.99
7208960,2.8845496,32.15,1.0
7225344,2.8864498,32.47,1.0
7241728,2.8115995,39.12,0.99
7258112,2.8462002,36.58,1.0
7274496,2.7283993,51.96,0.99
7290880,2.7848992,43.25,0.99
7307264,2.6904995,55.31,0.98
7323648,2.8785,33.23,1.0
7340032,2.8207505,41.27,1.0
7356416,2.8289502,39.23,1.0
7372800,2.7897,43.33,0.99
7389184,2.8431997,38.02,1.0
7405568,2.88825,31.21,1.0
7421952,2.84975,36.53,1.0
7438336,2.8996,30.69,1.0
7454720,2.8768003,32.92,1.0
7471104,2.88585,32.15,1.0
7487488,2.78125,44.59,1.0
7503872,2.8803496,32.64,1.0
7520256,2.8628998,34.41,1.0
7536640,2.85685,34.7,1.0
7553024,2.7530499,50.14,1.0
7569408,2.8468997,35.73,1.0
7585792,2.8581002,35.98,1.0
7602176,2.87385,33.12,1.0
7618560,2.7503495,49.13,0.99
7634944,2.8654,34.67,1.0
7651328,2.8513,36.31,1.0
7667712,2.8663502,34.12,1.0
7684096,2.7335,52.27,1.0
7700480,2.8692503,33.87,1.0
7716864,2.87665,31.8,1.0
7733248,2.8105004,41.57,1.0
7749632,2.87405,33.08,1.0
7766016,2.8399503,36.44,1.0
7782400,2.8893003,31.63,1.0
7798784,2.8777,32.53,1.0
7815168,2.8620498,34.23,1.0
7831552,2.8551502,36.56,1.0
7847936,2.7337494,50.63,0.99
7864320,2.7861996,44.34,0.99
7880704,2.8568003,36.44,1.0
7897088,2.71475,53.78,0.99
7913472,2.7361498,49.71,0.99
7929856,2.8440504,38.17,1.0
7946240,2.8639,34.73,1.0
7962624,2.71445,51.84,0.99
7979008,2.8667998,34.39,1.0
7995392,2.8414001,39.1,1.0
8011776,2.87985,32.68,1.0
8028160,2.8506,38.12,1.0
8044544,2.8586004,35.79,1.0
8060928,2.7304995,50.48,0.99
8077312,2.86025,35.19,1.0
8093696,2.6982992,55.6,0.99
8110080,2.8368502,38.03,1.0
8126464,2.8657503,35.74,1.0
8142848,2.8594503,36.8,1.0
8159232,2.82415,40.32,1.0
8175616,2.8776999,32.92,1.0
8192000,2.8514495,36.48,1.0
8208384,2.8640506,35.3,1.0
8224768,2.8748505,33.26,1.0
8241152,2.8532007,34.88,1.0
8257536,2.7937,43.45,1.0
8273920,2.8564506,35.32,1.0
8290304,2.7881997,43.77,1.0
8306688,2.7837493,43.05,0.99
8323072,2.6748,57.34,0.99
8339456,2.8744001,32.43,1.0
8355840,2.8800998,32.48,1.0
8372224,2.8199003,40.2,1.0
8388608,2.7562997,50.43,0.99
